,height,search_num,final_win_num,G,PER,WS,TRB,AST,PTS,G_sum,PER_sum,WS_sum,TRB_sum,AST_sum,PTS_sum,Pos_C,Pos_PF,Pos_PF-C,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SG,Pos_SG-SF,HoF
57,-0.199116017,-0.150133225,-0.29995078199999997,0.9125987259999999,0.30124151,0.6908179720000001,0.132850476,1.8684982019999998,0.74784961,0.457837049,0.32187467399999997,0.22117407600000002,-0.101681689,0.8401307840000001,0.202271576,0,0,0,0,0,0,0,1,0,0
58,1.1941824779999999,-0.3612243,-0.29995078199999997,0.110082604,-0.4737168920000001,-0.651718647,-0.437957431,-0.690597208,-0.801598982,-0.6465928160000001,-0.624631196,-0.5605208970000001,-0.549086035,-0.551225318,-0.629988179,1,0,0,0,0,0,0,0,0,0
59,0.658298441,-0.36043947600000004,-0.29995078199999997,-0.727325522,0.038947897,-0.62431994,-0.700220524,-0.719158541,-0.799903743,-0.850912342,-0.679756073,-0.546624097,-0.613888649,-0.565539681,-0.646318433,0,1,0,0,0,0,0,0,0,0
60,-2.342652164,-0.304393863,-0.29995078199999997,-0.622649506,-0.008741851,-0.70651606,-0.796640778,-0.410696147,-0.793122786,-0.61898207,0.013409935,-0.557046697,-0.583262756,-0.39376732299999995,-0.587218465,0,0,0,1,0,0,0,0,0,0
61,0.658298441,1.715635665,-0.29995078199999997,-0.622649506,-0.080276472,-0.70651606,-0.596086649,-0.759144406,-0.8236370909999999,-0.754274728,-0.716115035,-0.5639950970000001,-0.564620908,-0.569118272,-0.631349033,0,1,0,0,0,0,0,0,0,0
62,-1.0565304759999998,-0.35997122,-0.29995078199999997,0.110082604,-0.306802774,-0.596921234,-0.738788625,-0.23932815100000002,-0.535446434,-0.676964638,-0.832229138,-0.5362014979999999,-0.60146075,-0.453887648,-0.593439514,0,0,0,1,0,0,0,0,0,0
63,0.658298441,0.104439695,-0.29995078199999997,-1.599625654,0.158172267,-0.8161108859999999,-0.896917843,-0.770568939,-0.9524752670000001,-0.906133835,-0.60586528,-0.574417697,-0.631198936,-0.568402554,-0.660315794,0,0,0,0,0,0,1,0,0,0
64,-0.735000054,-0.288631446,-0.29995078199999997,-0.866893543,-0.497561766,-0.70651606,-0.769643107,-0.536366011,-0.7846465909999999,-0.812257296,-0.808771743,-0.567469297,-0.613444795,-0.537626673,-0.632321072,0,0,0,1,0,0,0,0,0,0
65,-0.199116017,-0.09341490599999999,-0.29995078199999997,-0.9715695590000001,0.26547419899999997,-0.596921234,-0.6385115610000001,-0.667748142,-0.676151284,-0.69629216,-0.26573306,-0.4771401,-0.506919951,-0.511145101,-0.535117177,0,0,0,0,0,1,0,0,0,0
66,-2.12829855,0.076080535,-0.29995078199999997,0.49389466200000004,-0.163733531,-0.29553546199999997,-0.364678038,0.971672355,-0.294722473,-0.46160081399999997,-0.47802248,-0.522304698,-0.523342531,-0.177620439,-0.51548199,0,0,0,1,0,0,0,0,0,0
