n_height,n_search_num,n_final_win_num,n_G_sum,n_PER_sum,n_WS_sum,n_TRB_sum,n_AST_sum,n_PTS_sum,HoF,n_salary
0.647887324,0.000541204,0,0.396226415,0.467904233,0.111594203,0.186295872,0.025117044,0.132701175,0,4212213.333
0.816901408,0.000493203,0,0.051734632,0.355829285,0.012681159,0.008199541,0.001075541,0.004897491,0,166000
0.605633803,7.32E-05,0,0.039561777,0.269777932,0.011231884,0.003383028,0.001265342,0.006825227,0,1029792
0.535211268,0.028153391,0,0.324406573,0.367279667,0.069202899,0.129701835,0.07408579,0.168546643,0,0
0.718309859,0.000312402,0,0.12720633,0.236988203,0.017028985,0.043061927,0.005124636,0.028238727,0,1101500
0.394366197,0.000861206,0,0.004260499,0.185981957,0.010144927,0.000286697,0.000316336,0.000651262,0,0
0.859154929,5.80E-05,0,0.008520998,0.165857044,0.008333333,0.00206422,0.00044287,0.000677313,0,1022903
0.507042253,0.000805205,0,0.032866707,0.222935461,0.009057971,0.003038991,0.001771479,0.003985724,0,633328.25
0.535211268,0.001281209,0,0.015824711,0.17852186,0.009782609,0.001318807,0.00044287,0.000885717,0,140000
0.535211268,0.031913417,0,0.023128424,0.185808466,0.011231884,0.003727064,0.000695938,0.003568917,0,0
0.577464789,0.072393692,0,0.772976263,0.72796669,0.393478261,0.409575688,0.289447046,0.701565634,1,0
0.422535211,0.028353393,0,0.005477785,0.170714781,0.009057971,0.000860092,0.001138808,0.001224373,0,493488.5
0.464788732,0.001761212,0,0,0.164295628,0.009782609,0,0,0,0,24315
0.605633803,1.28E-06,0,0.024345709,0.198126301,0.00942029,0.002350918,0.00044287,0.002214291,0,140000
0.647887324,0.074393706,0,0.061472915,0.202637058,0.015217391,0.015768349,0.001898013,0.011436163,0,550087
0.676056338,0.000299602,0,0.090079124,0.211832061,0.025724638,0.022018349,0.021067949,0.026545445,0,675000
0.535211268,5.60E-06,0,0.040779063,0.17852186,0.007971014,0.006479358,0.003859294,0.009273973,0,0
0.577464789,0.000148401,0,0.393791844,0.386710618,0.092391304,0.149827982,0.132734405,0.133430588,0,0
0.535211268,0.008713259,0,0.510042605,0.465128383,0.209782609,0.13956422,0.125901556,0.379060619,0,8202625
0.394366197,0.009793267,0,0.027997565,0.181644691,0.011956522,0.003956422,0.002720486,0.007554641,0,412718
0.323943662,0.0293934,0,0.646987219,0.838827203,0.403623188,0.220126147,0.410477034,0.71526819,1,0
0.352112676,0.000126401,0,0.425441266,0.40388619,0.117753623,0.066743119,0.211248893,0.174121447,0,0
0.535211268,0.001377209,0,0.059646987,0.203157529,0.009057971,0.008658257,0.004681766,0.011462214,0,0
0.676056338,0.003757226,0.142857143,0.531953743,0.748265094,0.339130435,0.420584862,0.060989498,0.38015474,1,0
0.352112676,0.000473203,0,0.006086427,0.215128383,0.008695652,0.001146789,0.000632671,0.000911767,0,0
0.352112676,0.002553217,0,0.043822276,0.199340736,0.012681159,0.007110092,0.000695938,0.00484539,0,477111.3333
0.746478873,0.000817206,0,0.61838101,0.499653019,0.145652174,0.359862385,0.059028217,0.167791179,0,682027.7778
0.647887324,0.000295602,0,0.600730371,0.570784178,0.275724638,0.397763762,0.25382766,0.362362258,0,0
0.605633803,1.10E-05,0,0.001825928,0.200208189,0.010144927,0.000114679,0,0.000208404,0,200000
0.718309859,0.014233297,0,0.01339014,0.175052047,0.010144927,0.00206422,0.000189801,0.000677313,0,332817
0.422535211,0.00140521,0,0.515520389,0.501040944,0.210869565,0.248566514,0.265215741,0.299580587,0,1182428.571
0.577464789,0.003881226,0,0.381010347,0.316793893,0.093478261,0.114220184,0.053587245,0.0804439,0,0
0.464788732,0.003765226,0,0.001825928,0.183206107,0.00942029,0.000229358,0.000316336,0.000286555,0,0
0.535211268,0.012833287,0,0.312233719,0.357911173,0.092753623,0.070011468,0.125268885,0.116836429,0,2653209
0.718309859,3.04E-05,0,0.068776628,0.217904233,0.011231884,0.012213303,0.002277616,0.005314299,0,443548.2
0.647887324,7.80E-05,0,0.023737066,0.209750174,0.012681159,0.003841743,0.001012274,0.003126058,0,336250
0.253521127,0.003477224,0,0.074863055,0.312283137,0.011594203,0.007798165,0.016196381,0.011045406,0,475095.5
0.647887324,0.125994057,0,0.045039562,0.204371964,0.010869565,0.010206422,0.000695938,0.005131946,0,353672
0.422535211,0.000106401,0,0.062081558,0.187196391,0.013768116,0.005447248,0.010881944,0.01021179,0,0
0.647887324,0.028273392,0,0.011564212,0.220680083,0.009782609,0.001605505,0.000759205,0.001250423,0,0
0.464788732,0.00443323,0,0.032258064,0.190666204,0.010507246,0.003899083,0.003479691,0.005001693,0,543109
0.535211268,0.016273311,0,0.057821059,0.270992366,0.019927536,0.017660551,0.005820574,0.018026936,0,250000
0.281690141,0.026553381,0,0.109555691,0.239590562,0.015217391,0.015538991,0.035303049,0.020658035,0,120000
0.422535211,0.000629204,0,0.093122337,0.150763359,0.002536232,0.008944954,0.009047197,0.009352124,0,0
0.788732394,2.60E-05,0,0.007303713,0.158570437,0.009057971,0.000458716,6.33E-05,0.000442858,0,161061
0.676056338,6.48E-05,0,0.012781497,0.189278279,0.008695652,0.003497706,0.000759205,0.001563029,0,175000
0.676056338,0.000191201,0,0.385270846,0.411693269,0.091304348,0.15728211,0.023408832,0.082996848,0,1732375
0.577464789,0.001581211,0.142857143,0.015216068,0.197258848,0.010144927,0.000688073,0.000695938,0.001120171,0,350000
0.718309859,0.009113262,0,0.49117468,0.435981957,0.12173913,0.227408257,0.030937619,0.137103707,0,1638833.333
0.422535211,0.003137221,0.142857143,0.284236153,0.356696738,0.107246377,0.057855505,0.124319879,0.194284523,0,0
0.647887324,0.000124001,0,0,0.164295628,0.009782609,0,0,0,0,0
0.535211268,0.000893206,0,0.035909921,0.186502429,0.011956522,0.00418578,0.002024548,0.004142027,0,215000
0.577464789,0.002105214,0,0.474132684,0.570263706,0.241666667,0.19684633,0.234151588,0.29653268,0,9216821.375
0.647887324,3.10E-05,0,0.076688983,0.25,0.014855072,0.012786697,0.003922561,0.010446245,0,682053.3333
0.647887324,0.000957207,0,0.258673159,0.270645385,0.012681159,0.110206422,0.02170062,0.06114049,0,672857.1429
0.605633803,0.001265209,0,0.192939744,0.283483692,0.048188406,0.09896789,0.027964064,0.057285018,0,903200
0.535211268,0.00300122,0,0.279975654,0.323560028,0.053985507,0.058543578,0.053144376,0.076718681,0,767500
0.647887324,0.071593687,0,0.085209982,0.249306038,0.014130435,0.027752294,0.00240415,0.012504233,0,504166.6667
0.577464789,0.003317223,0,0.088861838,0.226925746,0.012318841,0.016055046,0.00854106,0.018704249,0,80000
0.352112676,8.52E-05,0,0.233718807,0.416204025,0.044202898,0.029529817,0.066367202,0.059082502,0,174960.5455
0.422535211,0.000294402,0,0.00669507,0.193095073,0.010507246,0.000974771,0.000569404,0.001354625,0,0
0.507042253,0.222794715,0,0.631162508,0.543025677,0.105797101,0.096961009,0.182652157,0.142183552,0,1742280.7
0.535211268,0.167194337,0,0.158855752,0.292852186,0.01557971,0.01983945,0.013222827,0.025868132,0,0
0.577464789,0.113593972,0,0.536214242,0.475884802,0.330434783,0.417373853,0.187460458,0.251543491,0,2892947.182
0.647887324,0.151594231,0,0.111990262,0.298230396,0.023188406,0.02809633,0.00417563,0.013337849,0,167136.8
0.464788732,0.000925206,0,0.525867316,0.505898682,0.13115942,0.129529817,0.132418069,0.221064423,0,1875087.467
0.676056338,1.98E-05,0,0.004260499,0.180256766,0.00942029,0.000458716,0.000126534,0.000442858,0,140000
0.507042253,0.014273297,0,0.056603773,0.258501041,0.012318841,0.004071101,0.003479691,0.010003387,0,611723.2
0.507042253,0.118394005,0,0.129032258,0.243407356,0.02173913,0.047993119,0.016765785,0.043191706,0,0
0.464788732,0.15879428,0,0.012172854,0.183553088,0.010507246,0.001949541,0.002720486,0.00375127,0,0
0.605633803,0.01023327,0,0.037127206,0.180256766,0.011956522,0.009747707,0.004302164,0.006330268,0,150000
0.647887324,0.001193208,0,0.646987219,0.586745316,0.174637681,0.2125,0.076236872,0.263761169,0,1255060
0.577464789,5.36E-05,0,0.006086427,0.160131853,0.008333333,0.000458716,0.000379603,0.000442858,0,0
0.464788732,0.001561211,0.142857143,0.589774802,0.539555864,0.151086956,0.434977064,0.217322536,0.445984318,0,9181252.857
0.394366197,0.073993703,0,0,0.161346287,0.009782609,5.73E-05,0,5.21E-05,0,139968
0.352112676,0.000621204,0,0.048691418,0.195350451,0.010144927,0.002809633,0.00657978,0.00484539,0,513512.5
0.647887324,0.065193643,0,0.624467438,0.539729355,0.240942029,0.437729358,0.074338859,0.259593091,0,8320000
0.718309859,0.063593632,0,0.146682897,0.348369188,0.009782609,0.036295872,0.004618499,0.019720218,0,381971.1
0.718309859,0.011153276,0,0.092513694,0.297015961,0.015942029,0.012327982,0.00328989,0.008726913,0,422666.6667
0.676056338,6.64E-05,0,0.016433353,0.183900069,0.010144927,0.003555046,0.000632671,0.002813452,0,332817
0.647887324,0.000168401,0,0.656725502,0.638792505,0.253623188,0.435665138,0.081741111,0.396306041,0,1868507.692
0.464788732,0.000973207,0,0.354230067,0.344899375,0.052536232,0.064678899,0.163988359,0.097272514,0,0
0.464788732,0.126794062,0,0.017041996,0.171755725,0.008333333,0.002350918,0.001581678,0.002448746,0,0
0.647887324,1,0,0.074863055,0.206974323,0.011956522,0.021731651,0.003416424,0.010550447,0,164797
0.816901408,0.002029214,0,0.595861229,0.593858432,0.402536232,0.537385321,0.113754271,0.412743898,1,0
0.647887324,0.000877206,0,0.004260499,0.17574601,0.00942029,0.000688073,0.000189801,0.000416808,0,0
0.464788732,8.32E-05,0,0.010955569,0.17869535,0.009782609,0.000573395,0.000316336,0.001146221,0,2500000
0.859154929,0.000789205,0,0.285453439,0.419326856,0.180434783,0.197018349,0.060989498,0.146638185,1,0
0.605633803,0.000159201,0,0.051125989,0.200034698,0.016666667,0.020355505,0.002277616,0.009873134,0,236250
0.507042253,0.000112401,0,0.006086427,0.17869535,0.00942029,0.000630734,0.001012274,0.001172272,0,150000
0.647887324,0.000123201,0,0.113207547,0.206453851,0.020289855,0.033027523,0.009300266,0.021335348,0,0
0.464788732,0.001673211,0,0.443091905,0.424358085,0.12826087,0.117603211,0.122485132,0.278245239,0,0
0.647887324,0.000153601,0,0.409007912,0.484038862,0.110144928,0.153841743,0.040237884,0.117617944,0,3334379.882
0.253521127,0.021233344,0.142857143,0.76567255,0.683900069,0.236231884,0.113360092,0.41933443,0.262015787,0,2610376.471
0.535211268,1.68E-05,0,0.035909921,0.212179042,0.010869565,0.004644495,0.001328609,0.003725219,0,479279.3333
