n_height,n_search_num,n_final_win_num,n_G_sum,n_PER_sum,n_WS_sum,n_TRB_sum,n_AST_sum,n_PTS_sum,HoF,n_salary
0.122414405,-0.323124099,1.198207644,-0.602415622,-0.26221445,-0.501459499,-0.531331894,-0.508282228,-0.50751127,0,0
0.336768019,-0.321277456,-0.299950782,-0.29317526,-0.35017968,-0.532727298,-0.349351952,-0.544783854,-0.574193143,0,188450
-0.413469632,-0.351747064,-0.299950782,2.095154324,3.553130771,4.77585012,2.193484854,1.751955718,4.438222944,1,0
-0.413469632,-0.212127667,-0.299950782,0.452314899,0.33594911,-0.008123116,0.053667043,-0.090302823,-0.28394231,0,975520.7273
-1.056530476,-0.330114961,-0.299950782,-0.064006063,0.014582805,-0.254791307,-0.207318826,-0.032329652,-0.130943378,0,0
-0.199116017,2.309199469,-0.299950782,0.32254439,0.253848229,-0.015071516,-0.024007323,-0.004416644,0.371600763,0,0
0.872652056,-0.360696687,-0.299950782,0.101658417,0.050941767,-0.327749505,-0.067948821,-0.487526402,-0.222703856,0,571555.5556
0.122414405,0.206005057,-0.299950782,-0.795690848,-0.775931391,-0.574417697,-0.620102598,-0.560529654,-0.632126665,0,0
0.658298441,-0.352802289,-0.299950782,0.838865352,1.06547408,0.40183247,0.798453246,-0.292851062,0.320665921,0,4212213.333
1.944420129,-0.353593707,-0.299950782,-0.723902907,0.307800237,-0.546624097,-0.580155781,-0.564823963,-0.633098704,0,166000
0.336768019,-0.360518618,-0.299950782,-0.7791244,-0.273943148,-0.560520897,-0.617439477,-0.562676808,-0.618712527,0,1029792
-0.199116017,0.102461149,-0.299950782,0.513058542,0.385209639,-0.004648916,0.360369824,0.261114793,0.588171042,0,0
1.194182478,-0.356574716,-0.299950782,-0.381529649,-0.495615526,-0.504933699,-0.310292842,-0.519018001,-0.458909322,0,1101500
-1.270884091,-0.347526166,-0.299950782,-0.939266731,-0.840439226,-0.570943497,-0.641407567,-0.573412581,-0.664787174,0,0
2.265950551,-0.360769234,-0.299950782,-0.919939208,-0.976492114,-0.588314496,-0.627648108,-0.571981144,-0.664592766,0,1022903
-0.413469632,-0.348449488,-0.299950782,-0.809496222,-0.590617974,-0.581366096,-0.620102598,-0.556951063,-0.639902976,0,633328.25
-0.199116017,-0.340601255,-0.299950782,-0.886806312,-0.890872624,-0.574417697,-0.633418204,-0.571981144,-0.663037503,0,140000
-0.199116017,0.164455591,-0.299950782,-0.853673416,-0.841612095,-0.560520897,-0.614776356,-0.569118272,-0.643013501,0,0
0.122414405,0.831885112,-0.299950782,2.547970569,2.823605801,3.104759978,2.526818847,2.697419407,4.565948863,1,0
-1.056530476,0.105758726,-0.299950782,-0.933744581,-0.943651762,-0.581366096,-0.636969032,-0.564108245,-0.660510202,0,493488.5
-0.735000054,-0.332687071,-0.299950782,-0.958594253,-0.987047942,-0.574417697,-0.643626835,-0.576991172,-0.669647368,0,24315
0.336768019,-0.361704427,-0.299950782,-0.848151267,-0.758338345,-0.577891896,-0.62542884,-0.571981144,-0.653122706,0,140000
0.658298441,0.864860879,-0.299950782,-0.679725712,-0.727843732,-0.522304698,-0.521567117,-0.555519627,-0.584302348,0,550087
0.872652056,-0.356785761,-0.299950782,-0.549955203,-0.665681636,-0.421552902,-0.473187084,-0.338657025,-0.471545829,0,675000
-0.199116017,-0.361633199,-0.299950782,-0.773602251,-0.890872624,-0.591788696,-0.593471387,-0.533332364,-0.600438195,0,0
0.122414405,-0.359278729,-0.299950782,0.827821054,0.516571048,0.217699876,0.516162409,0.924585526,0.326109339,0,0
-0.199116017,-0.218063305,-0.299950782,1.355186314,1.046708165,1.343340638,0.436712629,0.847287965,2.159180405,0,8202625
-1.270884091,-0.200256391,-0.299950782,-0.831584819,-0.869760969,-0.553572497,-0.613000942,-0.546215291,-0.613269109,0,412718
-1.806768128,0.122906124,-0.299950782,1.976428114,3.573069556,3.202037574,1.060326822,4.066588245,4.668207361,1,0
-1.592414513,-0.359641463,-0.299950782,0.971396936,0.632685151,0.460893868,-0.126981339,1.812791762,0.62977431,0,0
-0.199116017,-0.339018418,-0.299950782,-0.688008936,-0.724325123,-0.581366096,-0.576604953,-0.524028028,-0.58410794,0,0
0.872652056,-0.299777256,1.198207644,1.454585002,2.960831559,2.583629995,2.612038722,0.112961134,2.167345532,1,0
-1.592414513,-0.353923465,-0.299950782,-0.930983507,-0.643397112,-0.584840296,-0.634749764,-0.56983399,-0.662843096,0,0
-1.592414513,-0.319628667,-0.299950782,-0.759796878,-0.750128257,-0.546624097,-0.588588998,-0.569118272,-0.633487519,0,477111.3333
1.408536093,-0.348251633,-0.299950782,1.846657604,1.28010924,0.728407259,2.141997846,0.090773871,0.582533216,0,682027.7778
0.658298441,-0.356851713,-0.299950782,1.766586439,1.760985828,1.975645016,2.435385022,2.294470083,2.03456501,0,0
0.336768019,-0.361544824,-0.299950782,-0.950311029,-0.744263908,-0.570943497,-0.642739128,-0.576991172,-0.668092106,0,200000
1.194182478,-0.127050189,-0.299950782,-0.897850611,-0.914330018,-0.570943497,-0.627648108,-0.574844017,-0.664592766,0,332817
