n_height,n_search_num,n_final_win_num,n_G_sum,n_PER_sum,n_WS_sum,n_TRB_sum,n_AST_sum,n_PTS_sum,HoF,ratio
-1.053635706,0.142794178,-0.297288309,-0.99470614,-1.020250213,-0.609632905,-0.677671965,-0.568205394,-0.692755905,0,0.34490817
-0.747223839,-0.297562385,-0.297288309,-1.018229156,-1.061064476,-0.603205791,-0.684095182,-0.579923235,-0.701422955,0,0
0.274149048,-0.3267062,-0.297288309,-0.91368242,-0.845962279,-0.606419347,-0.666538389,-0.575366296,-0.685748503,0,0
0.580560915,0.905204532,-0.297288309,-0.754248647,-0.817281985,-0.555002432,-0.566336209,-0.560393501,-0.620469021,0,0.332839857
0.784835493,-0.321766099,-0.297288309,-0.631406232,-0.758818311,-0.461809274,-0.519660835,-0.363143193,-0.513513936,0,0.019230769
-0.236537395,-0.182439084,-0.297288309,1.172024966,0.851690451,1.170677787,0.358178781,0.715549089,1.981858838,0,0.404337202
-1.257910283,-0.164554567,-0.297288309,-0.89800041,-0.950755657,-0.583924447,-0.654548385,-0.551930617,-0.647945413,0,0
-1.768596728,0.160016305,-0.297288309,1.760100358,3.227742419,2.889930891,0.959820079,3.643707135,4.361793881,1,0.488410347
0.784835493,-0.264509148,1.078241829,1.266117029,2.651930383,2.317917709,2.456857784,0.047632203,1.989603861,1,0.20287554
-1.56432215,-0.284447072,-0.297288309,-0.830045032,-0.838240661,-0.577497332,-0.63099659,-0.572762332,-0.667123566,0,0.227803224
1.295521937,-0.313194778,-0.297288309,1.637257942,1.071205001,0.601878161,2.003378685,0.027451478,0.486331702,0,0.010669774
0.274149048,-0.326545902,-0.297288309,-1.010388151,-0.83272522,-0.599992234,-0.683238753,-0.579923235,-0.699947713,0,0
1.091247359,-0.091029329,-0.297288309,-0.960728452,-0.992673008,-0.599992234,-0.668679462,-0.577970261,-0.696628417,0,0
-1.053635706,-0.303457652,-0.297288309,1.195547982,1.080029707,1.180318459,1.172214444,2.14903153,1.41923821,0,0.028167289
-0.236537395,-0.114212962,-0.297288309,0.322582735,0.169981948,0.132698809,-0.161245343,0.709039179,0.125634899,0,4.294503202
1.091247359,-0.326223981,-0.297288309,-0.722884626,-0.720210224,-0.590351562,-0.592885504,-0.556487554,-0.66380427,0,3.126916594
0.580560915,-0.325435737,-0.297288309,-0.916296089,-0.772055369,-0.577497332,-0.655404814,-0.569507376,-0.679294317,0,0.211311877
-2.279283171,-0.269145874,-0.297288309,-0.696747943,-0.120130248,-0.587138004,-0.625858017,-0.413269508,-0.6232351,0,0.46625415
0.580560915,1.759687032,-0.297288309,-0.824817694,-0.806251104,-0.593565119,-0.60787301,-0.572762332,-0.665095107,0,0.365596489
-0.747223839,-0.253314764,-0.297288309,-0.879704731,-0.893395071,-0.596778676,-0.654976599,-0.544118723,-0.666017134,0,0.237665893
-0.236537395,-0.057247462,-0.297288309,-0.769930658,-0.382665238,-0.513226189,-0.552205132,-0.520032052,-0.573814475,0,0
-2.075008594,0.112986648,-0.297288309,-0.547768844,-0.5823242,-0.555002432,-0.568049066,-0.216670191,-0.555189538,0,0.086247086
1.601933803,-0.326297506,-0.297288309,-0.986865135,-1.097466387,-0.609632905,-0.680669466,-0.579272243,-0.698288065,0,0
0.784835493,-0.325654325,-0.297288309,-0.963342121,-0.902219776,-0.612846462,-0.6579741,-0.572111341,-0.690358636,0,0
0.784835493,-0.323561175,-0.297288309,0.636222943,0.511939288,0.119844581,0.490497045,-0.339056521,-0.11390761,0,0.445905009
0.069874471,-0.300543138,1.078241829,-0.952887447,-0.851477719,-0.599992234,-0.678956608,-0.572762332,-0.693493526,0,0.157142857
1.091247359,-0.175815189,-0.297288309,1.091001246,0.666371635,0.389783386,1.014203314,-0.261588578,0.269102237,0,0.101110643
-1.053635706,-0.274776185,1.078241829,0.202353988,0.162260331,0.261241097,-0.252026805,0.699274311,0.673871912,0,0
0.580560915,-0.324673989,-0.297288309,-1.018229156,-1.061064476,-0.603205791,-0.684095182,-0.579923235,-0.701422955,0,0
-0.236537395,-0.311936238,-0.297288309,-0.86402272,-0.919869187,-0.583924447,-0.652835527,-0.559091518,-0.672102509,0,0.441111111
0.069874471,-0.291865835,-0.297288309,1.01781853,1.520161896,1.45347082,0.785965014,1.829394892,1.397662788,0,0.205341434
